year,selling_price,km_driven,fuel,seller_type,owner,brand
18,7.5,87.0,Diesel,Individual,First Owner,Mahindra
19,7.5,15.0,Petrol,Individual,First Owner,Hyundai
17,3.15,16.0,Petrol,Individual,First Owner,Renault
12,6.0,60.0,Diesel,Individual,First Owner,Mahindra
10,1.0,60.0,Petrol,Individual,Other,Maruti
11,2.5,110.0,Petrol,Individual,Third Owner,Maruti
17,3.5,25.0,Petrol,Individual,First Owner,Renault
16,7.8,60.0,Diesel,Individual,First Owner,Hyundai
14,4.34,79.35,Diesel,Individual,Second Owner,Maruti
16,6.9,80.0,Petrol,Individual,First Owner,Hyundai
14,5.55,90.0,Diesel,Individual,Second Owner,Mahindra
7,1.2,90.0,Petrol,Individual,Second Owner,Maruti
14,5.0,120.0,Diesel,Individual,Second Owner,Maruti
13,1.65,60.0,Diesel,Individual,Second Owner,Chevrolet
4,0.95,50.0,Petrol,Individual,First Owner,Maruti
18,5.5,20.0,Petrol,Individual,First Owner,Maruti
7,1.0,110.0,Diesel,Individual,Other,Maruti
12,1.0,50.0,Petrol,Individual,Second Owner,Tata
12,5.0,100.0,Diesel,Individual,First Owner,Toyota
16,8.0,70.0,Diesel,Individual,Second Owner,Maruti
16,8.4,70.0,Diesel,Individual,Second Owner,Hyundai
16,4.9,50.0,Petrol,Individual,First Owner,Honda
10,1.25,81.0,Diesel,Individual,Second Owner,Tata
12,4.0,120.0,Diesel,Individual,Third Owner,Chevrolet
15,10.0,3.6,Diesel,Dealer,First Owner,Chevrolet
15,5.3,14.272,Petrol,Dealer,First Owner,Ford
17,8.4,49.213,Diesel,Dealer,First Owner,Ford
15,2.29999,40.0,Petrol,Individual,First Owner,Hyundai
-2,0.4,40.0,Petrol,Individual,Other,Maruti
12,1.3,80.0,Petrol,Individual,First Owner,Chevrolet
15,2.0,70.0,Petrol,Individual,First Owner,Hyundai
11,1.2,70.0,Diesel,Individual,First Owner,Tata
3,0.75,57.0,Petrol,Individual,First Owner,Hyundai
16,2.5,120.0,Diesel,Individual,First Owner,Tata
5,1.0,30.0,Petrol,Individual,First Owner,Maruti
13,2.8,3.24,Petrol,Individual,Second Owner,Hyundai
15,5.4,5.0,Petrol,Individual,First Owner,Hyundai
18,7.0,10.0,Petrol,Individual,First Owner,Hyundai
15,5.25,100.0,Diesel,Individual,First Owner,Maruti
16,4.3,80.0,Diesel,Individual,First Owner,Hyundai
2,0.65,70.0,Petrol,Individual,First Owner,Hyundai
18,8.0,35.0,Diesel,Individual,First Owner,Maruti
7,0.75,114.0,Petrol,Individual,Second Owner,Hyundai
8,2.1,53.772,Petrol,Individual,First Owner,Hyundai
12,1.95,140.0,Diesel,Individual,Second Owner,Mahindra
15,4.0,120.0,Diesel,Individual,First Owner,Chevrolet
12,1.7,60.0,Petrol,Individual,First Owner,Hyundai
16,2.25,25.0,Petrol,Individual,First Owner,Renault
14,2.1,90.0,Other,Individual,First Owner,Maruti
20,2.4,120.0,Petrol,Individual,First Owner,Maruti
15,3.0,175.0,Diesel,Individual,First Owner,Chevrolet
11,0.99,100.0,Petrol,Individual,Third Owner,Chevrolet
14,6.2,36.0,Petrol,Individual,First Owner,Honda
13,5.0,30.0,Diesel,Individual,First Owner,Honda
10,25.5,40.0,Petrol,Individual,Second Owner,Other
13,2.6,70.0,Petrol,Individual,Second Owner,Honda
17,5.5,60.0,Petrol,Individual,First Owner,Maruti
11,1.5,155.5,Diesel,Individual,First Owner,Tata
11,3.5,50.0,Petrol,Individual,Second Owner,Hyundai
16,3.2,40.0,Petrol,Individual,First Owner,Chevrolet
15,4.0,100.0,Diesel,Individual,Third Owner,Maruti
12,1.75,80.0,Petrol,Individual,Third Owner,Maruti
11,1.2,90.0,Petrol,Individual,Second Owner,Chevrolet
13,3.2,90.0,Diesel,Individual,Second Owner,Renault
6,0.7,110.0,Petrol,Individual,Third Owner,Hyundai
19,8.1,15.0,Petrol,Individual,First Owner,Maruti
7,0.95,100.0,Petrol,Individual,Second Owner,Maruti
20,2.82,40.0,Other,Individual,First Owner,Maruti
4,0.8,60.0,Petrol,Individual,Second Owner,Maruti
13,0.72,25.0,Petrol,Individual,First Owner,Tata
16,6.0,25.0,Petrol,Individual,First Owner,Hyundai
15,6.4,23.0,Petrol,Individual,First Owner,Skoda
18,3.8,22.155,Petrol,Individual,First Owner,Maruti
18,6.5,70.0,Petrol,Individual,First Owner,Maruti
9,1.5,60.0,Petrol,Individual,Second Owner,Maruti
9,2.8,110.0,Petrol,Individual,Second Owner,Hyundai
18,4.3,30.0,Petrol,Individual,First Owner,Tata
19,8.0,15.0,Diesel,Individual,First Owner,Mahindra
3,0.75,100.0,Diesel,Individual,Second Owner,Maruti
16,6.5,70.0,Diesel,Individual,First Owner,Volkswagen
17,3.9,24.0,Petrol,Individual,First Owner,Maruti
5,1.0,120.0,Petrol,Individual,Second Owner,Honda
13,15.0,35.0,Diesel,Individual,First Owner,Mercedes-Benz
7,1.75,78.38,Petrol,Individual,First Owner,Maruti
12,4.34999,110.0,Diesel,Individual,Second Owner,Renault
10,1.7,90.0,Diesel,Individual,Third Owner,Ford
11,1.9,90.0,Diesel,Individual,Third Owner,Ford
9,2.5,150.0,Diesel,Individual,Third Owner,Maruti
9,2.29999,230.0,Diesel,Individual,Third Owner,Mahindra
6,1.4,70.0,Petrol,Individual,Third Owner,Maruti
17,6.0,80.362,Diesel,Individual,First Owner,Maruti
12,2.8,110.0,Petrol,Individual,Third Owner,Hyundai
12,1.5,60.0,Diesel,Individual,First Owner,Chevrolet
15,6.5,50.0,Diesel,Individual,First Owner,Chevrolet
14,2.1,40.0,Petrol,Individual,Second Owner,Nissan
17,29.0,40.0,Diesel,Individual,First Owner,BMW
13,4.25,20.0,Diesel,Dealer,First Owner,Chevrolet
14,2.65,55.0,Petrol,Dealer,First Owner,Hyundai
18,8.9,1.136,Petrol,Dealer,First Owner,Fiat
13,3.65,55.0,Petrol,Dealer,First Owner,Renault
14,3.5,43.0,Petrol,Dealer,First Owner,Ford
16,6.85,60.0,Diesel,Individual,First Owner,Maruti
18,9.4,2.65,Diesel,Dealer,First Owner,Skoda
17,10.0,40.0,Diesel,Individual,First Owner,Mahindra
19,11.5,15.0,Petrol,Dealer,First Owner,Mahindra
16,4.5,115.962,Diesel,Individual,Second Owner,Maruti
15,5.9,65.0,Diesel,Dealer,First Owner,Nissan
17,8.0,40.0,Diesel,Individual,First Owner,Maruti
12,3.85,58.0,Diesel,Dealer,First Owner,Hyundai
13,20.0,15.0,Diesel,Individual,First Owner,Mercedes-Benz
12,2.35,54.0,Petrol,Dealer,First Owner,Hyundai
17,6.4,56.0,Diesel,Dealer,First Owner,Volkswagen
6,0.52,120.0,Petrol,Individual,Third Owner,Maruti
9,0.8,90.0,Other,Individual,Second Owner,Maruti
12,1.4,70.0,Petrol,Individual,Second Owner,Maruti
8,1.2,90.0,Petrol,Individual,Second Owner,Hyundai
8,0.89999,213.0,Diesel,Individual,First Owner,Mahindra
12,1.8,120.0,Diesel,Individual,First Owner,Chevrolet
17,15.0,20.0,Diesel,Individual,First Owner,Mahindra
17,7.0,10.0,Petrol,Individual,First Owner,Hyundai
12,2.85,80.0,Diesel,Individual,Second Owner,Maruti
15,3.9,90.0,Petrol,Individual,First Owner,Hyundai
8,1.25,80.0,Petrol,Individual,First Owner,Maruti
8,2.25,60.0,Petrol,Individual,Second Owner,Maruti
11,1.75,139.0,Petrol,Individual,Second Owner,Hyundai
11,10.75,160.0,Diesel,Individual,Second Owner,Toyota
14,3.0,150.0,Diesel,Individual,First Owner,Honda
10,7.0,163.0,Diesel,Individual,Other,Toyota
9,0.9,120.0,Diesel,Dealer,First Owner,Tata
11,1.2,120.0,Diesel,Individual,Second Owner,Tata
12,2.2,100.0,Diesel,Individual,Second Owner,Chevrolet
15,3.0,140.0,Diesel,Dealer,First Owner,Tata
10,1.8,87.0,Diesel,Dealer,Second Owner,Skoda
13,1.7,70.0,Petrol,Individual,First Owner,Maruti
15,3.0,50.0,Petrol,Individual,Second Owner,Ford
14,10.5,70.0,Diesel,Individual,First Owner,Toyota
14,3.0,150.0,Diesel,Individual,First Owner,Honda
18,4.65,25.0,Diesel,Individual,First Owner,Hyundai
11,1.3,80.0,Diesel,Individual,Second Owner,Chevrolet
18,4.34999,10.0,Petrol,Individual,First Owner,Datsun
18,5.0,32.0,Petrol,Individual,First Owner,Hyundai
18,2.0,10.0,Petrol,Individual,First Owner,Maruti
17,6.25,52.0,Petrol,Dealer,First Owner,Maruti
6,1.1,120.0,Diesel,Individual,Third Owner,Ford
19,8.0,11.24,Petrol,Individual,First Owner,Hyundai
17,4.9,66.0,Diesel,Dealer,First Owner,Hyundai
17,8.8,64.0,Diesel,Dealer,First Owner,Maruti
13,2.9,49.0,Petrol,Individual,First Owner,Hyundai
6,1.15999,100.0,Diesel,Individual,Second Owner,Tata
18,3.6,26.5,Petrol,Individual,First Owner,Renault
2,0.65,100.0,Petrol,Individual,Second Owner,Maruti
17,6.85,72.0,Diesel,Dealer,First Owner,Maruti
9,3.0,50.0,Petrol,Individual,First Owner,Honda
17,6.8,44.0,Diesel,Dealer,First Owner,Hyundai
17,10.0,60.0,Diesel,Individual,Second Owner,Maruti
2,1.0,120.0,Diesel,Individual,First Owner,Tata
10,1.6,130.0,Diesel,Individual,First Owner,Mahindra
17,4.5,70.0,Diesel,Individual,First Owner,Maruti
14,6.0,20.0,Petrol,Individual,First Owner,Maruti
9,1.8,60.0,Diesel,Individual,Second Owner,Hyundai
7,1.0,195.0,Petrol,Individual,First Owner,Maruti
10,1.2,90.0,Petrol,Individual,Second Owner,Maruti
6,1.3,80.0,Petrol,Individual,Third Owner,Hyundai
11,1.6,155.0,Petrol,Individual,First Owner,Maruti
19,8.6,35.0,Diesel,Individual,First Owner,Mahindra
18,6.5,20.0,Petrol,Individual,Second Owner,Hyundai
10,1.0,80.0,Petrol,Individual,Second Owner,Maruti
17,2.82,20.0,Petrol,Individual,First Owner,Maruti
9,3.0,50.0,Petrol,Individual,First Owner,Hyundai
10,2.7,110.0,Petrol,Individual,Second Owner,Hyundai
13,5.5,29.0,Diesel,Individual,First Owner,Hyundai
13,4.5,120.0,Diesel,Individual,First Owner,Mahindra
11,4.3,70.0,Diesel,Individual,Second Owner,Mahindra
13,3.5,40.0,Petrol,Individual,First Owner,Maruti
17,3.5,20.0,Petrol,Individual,First Owner,Honda
13,2.29999,50.0,Petrol,Individual,Second Owner,Toyota
13,1.1,50.0,Petrol,Individual,First Owner,Maruti
12,3.95,49.0,Petrol,Individual,Second Owner,Maruti
11,6.5,70.0,Diesel,Individual,Second Owner,Mahindra
11,3.5,90.0,Diesel,Individual,Second Owner,Mahindra
20,14.0,25.0,Diesel,Dealer,First Owner,Mahindra
18,3.6,4.0,Petrol,Individual,First Owner,Tata
18,13.0,10.0,Diesel,Individual,First Owner,Mahindra
15,8.0,15.0,Diesel,Individual,First Owner,Renault
18,2.29999,30.0,Petrol,Individual,First Owner,Hyundai
14,3.15,41.0,Petrol,Dealer,First Owner,Maruti
12,1.25,28.0,Petrol,Individual,First Owner,Chevrolet
19,7.0,16.0,Petrol,Individual,First Owner,Maruti
15,1.6,70.0,Petrol,Individual,First Owner,Hyundai
17,5.3,10.832,Petrol,Dealer,First Owner,Ford
18,6.24,14.681,Diesel,Dealer,First Owner,Ford
9,2.5,50.0,Petrol,Individual,First Owner,Hyundai
16,5.85,51.0,Diesel,Dealer,First Owner,Mahindra
15,5.0,25.0,Petrol,Individual,First Owner,Hyundai
14,3.5,30.0,Petrol,Individual,First Owner,Chevrolet
14,4.95,80.0,Diesel,Dealer,First Owner,Honda
17,5.0,50.0,Petrol,Individual,First Owner,Hyundai
15,4.3,200.0,Diesel,Individual,First Owner,Mahindra
13,3.45,44.0,Petrol,Dealer,First Owner,Hyundai
15,5.0,10.0,Petrol,Individual,First Owner,Maruti
19,4.25,19.6,Petrol,Individual,First Owner,Tata
5,0.8,40.0,Petrol,Individual,Second Owner,Maruti
11,1.06,50.0,Diesel,Individual,First Owner,Chevrolet
9,1.8,46.73,Petrol,Individual,First Owner,Maruti
15,2.5,40.0,Petrol,Individual,Second Owner,Datsun
11,3.5,80.0,Diesel,Individual,First Owner,Skoda
2,0.6,80.0,Petrol,Individual,Second Owner,Maruti
18,9.0,24.0,Diesel,Individual,First Owner,Hyundai
17,7.0,21.17,Diesel,Dealer,First Owner,Ford
13,20.0,167.223,Diesel,Dealer,First Owner,BMW
17,10.0,40.0,Diesel,Individual,First Owner,Maruti
11,13.75,60.0,Diesel,Individual,First Owner,BMW
16,18.0,141.44,Diesel,Dealer,First Owner,Toyota
7,1.6,120.0,Diesel,Individual,Third Owner,Chevrolet
12,5.25,140.0,Petrol,Individual,First Owner,Other
12,8.5,212.814,Diesel,Dealer,First Owner,Mahindra
19,8.0,30.0,Diesel,Individual,First Owner,Maruti
17,7.0,88.635,Diesel,Dealer,First Owner,Ford
18,8.0,25.0,Diesel,Individual,First Owner,Maruti
17,5.75,20.0,Petrol,Individual,Second Owner,Hyundai
12,3.5,110.0,Diesel,Individual,Second Owner,Renault
8,2.5,120.0,Diesel,Individual,Third Owner,Maruti
11,6.0,149.674,Diesel,Dealer,Second Owner,Ford
7,3.7,100.0,Diesel,Individual,Third Owner,Mahindra
6,0.8,120.0,Petrol,Individual,Third Owner,Maruti
3,0.5,120.0,Diesel,Individual,Second Owner,Tata
18,9.0,25.0,Diesel,Individual,First Owner,Hyundai
14,3.0,35.0,Petrol,Individual,Second Owner,Maruti
2,1.25,40.0,Petrol,Individual,First Owner,Tata
15,4.9,60.0,Diesel,Individual,Second Owner,Maruti
12,3.0,50.0,Diesel,Individual,Second Owner,Toyota
13,0.55,25.0,Petrol,Individual,Other,Tata
16,3.5,25.0,Petrol,Individual,First Owner,Hyundai
19,7.55,8.0,Diesel,Individual,First Owner,Hyundai
17,7.2,60.0,Diesel,Individual,First Owner,Maruti
6,2.29999,200.0,Diesel,Individual,Third Owner,Mahindra
18,11.0,20.0,Diesel,Individual,First Owner,Mahindra
13,4.0,100.0,Petrol,Individual,First Owner,Volkswagen
15,3.5,70.0,Diesel,Individual,Second Owner,Hyundai
12,1.59,68.0,Diesel,Dealer,First Owner,Chevrolet
17,5.5,38.0,Petrol,Dealer,First Owner,Maruti
13,3.35,80.0,Diesel,Dealer,First Owner,Maruti
14,1.85,72.0,Other,Dealer,First Owner,Tata
12,2.29999,75.0,Other,Dealer,First Owner,Maruti
14,2.25,43.0,Petrol,Dealer,First Owner,Maruti
7,2.5,120.0,Petrol,Individual,Second Owner,Maruti
15,4.0,100.0,Diesel,Individual,First Owner,Tata
14,4.7,163.0,Diesel,Individual,First Owner,Maruti
18,3.0,25.0,Petrol,Individual,First Owner,Maruti
11,1.45,25.0,Petrol,Individual,First Owner,Maruti
7,1.0,90.0,Petrol,Individual,Second Owner,Maruti
14,5.0,70.0,Diesel,Individual,Second Owner,Mahindra
10,1.3,98.0,Other,Individual,Second Owner,Hyundai
10,2.4,81.925,Diesel,Individual,First Owner,Chevrolet
13,1.5,80.0,Diesel,Individual,Second Owner,Ford
17,2.7,40.0,Petrol,Individual,First Owner,Renault
14,4.0,90.0,Diesel,Individual,First Owner,Maruti
12,2.0,46.0,Petrol,Individual,First Owner,Hyundai
12,5.5,80.0,Diesel,Individual,First Owner,Mahindra
18,3.25,35.0,Petrol,Individual,First Owner,Renault
17,8.6,82.08,Diesel,Individual,First Owner,Skoda
12,6.0,200.0,Diesel,Individual,First Owner,Mahindra
9,1.25,70.0,Petrol,Individual,First Owner,Chevrolet
0,0.6,40.0,Petrol,Individual,Third Owner,Maruti
10,3.0,120.0,Diesel,Individual,Third Owner,Chevrolet
7,1.9,60.0,Petrol,Individual,Third Owner,Ford
13,4.0,110.0,Diesel,Individual,First Owner,Maruti
11,2.6,97.0,Diesel,Individual,Second Owner,Tata
17,4.0,30.0,Petrol,Individual,First Owner,Maruti
10,2.5,40.0,Petrol,Individual,First Owner,Hyundai
19,6.0,10.0,Petrol,Individual,First Owner,Hyundai
10,1.75,52.047,Petrol,Individual,First Owner,Maruti
11,4.5,200.0,Diesel,Individual,Third Owner,Toyota
19,3.5,15.0,Petrol,Individual,Second Owner,Tata
18,8.0,50.0,Diesel,Individual,First Owner,Maruti
11,2.5,70.0,Petrol,Individual,Second Owner,Maruti
19,6.0,10.0,Petrol,Individual,First Owner,Maruti
17,6.0,90.0,Diesel,Individual,First Owner,Maruti
16,1.3,40.0,Petrol,Individual,First Owner,Maruti
6,0.9,62.009,Petrol,Individual,Second Owner,Maruti
17,5.95,33.1,Petrol,Individual,Second Owner,Hyundai
14,1.9,40.0,Petrol,Individual,Second Owner,Hyundai
-1,0.5,120.0,Petrol,Individual,Second Owner,Hyundai
7,0.95,80.0,Petrol,Individual,First Owner,Maruti
16,10.0,70.0,Diesel,Individual,First Owner,Tata
6,2.2,220.0,Petrol,Individual,Second Owner,Mahindra
10,4.0,50.0,Diesel,Individual,First Owner,Mahindra
15,3.15,45.0,Petrol,Individual,Second Owner,Datsun
14,10.0,110.0,Diesel,Individual,First Owner,Toyota
14,5.0,49.0,Diesel,Individual,First Owner,Ford
18,16.0,35.0,Diesel,Individual,First Owner,Mahindra
17,5.0,160.0,Diesel,Individual,First Owner,Mahindra
7,0.7,180.0,Petrol,Individual,Third Owner,Maruti
7,1.05,60.0,Petrol,Individual,Second Owner,Maruti
8,4.0,110.0,Diesel,Individual,Third Owner,Ford
4,0.8,60.0,Petrol,Individual,Third Owner,Maruti
16,3.0,30.0,Petrol,Individual,First Owner,Maruti
17,4.09999,40.0,Diesel,Individual,First Owner,Mahindra
9,2.5,70.0,Petrol,Individual,First Owner,Maruti
10,2.5,120.0,Diesel,Individual,Second Owner,Tata
12,2.15,80.0,Diesel,Individual,Third Owner,Maruti
15,14.0,120.0,Diesel,Individual,First Owner,Toyota
18,4.75,20.0,Petrol,Individual,First Owner,Honda
18,4.75,22.0,Petrol,Individual,First Owner,Honda
8,0.75,35.0,Petrol,Individual,Second Owner,Chevrolet
13,2.0,120.0,Diesel,Individual,Second Owner,Chevrolet
19,5.75,8.0,Petrol,Individual,First Owner,Tata
11,1.5,40.0,Diesel,Individual,Second Owner,Maruti
18,8.5,10.0,Diesel,Individual,First Owner,Maruti
19,3.5,30.0,Petrol,Individual,First Owner,Hyundai
11,5.5,54.0,Diesel,Individual,Second Owner,Ford
17,3.3,80.577,Petrol,Individual,First Owner,Hyundai
17,10.44999,25.0,Diesel,Individual,First Owner,Honda
11,3.0,127.5,Diesel,Individual,Second Owner,Hyundai
15,2.35,40.903,Petrol,Dealer,First Owner,Hyundai
11,1.2,60.0,Petrol,Individual,Third Owner,Ford
4,1.3,46.0,Petrol,Individual,First Owner,Maruti
4,2.75,22.288,Diesel,Dealer,Second Owner,Ford
11,2.7,180.0,Diesel,Individual,Second Owner,Volkswagen
15,5.0,30.0,Diesel,Individual,Second Owner,Volkswagen
15,4.0,61.69,Petrol,Dealer,First Owner,Hyundai
15,6.0,64.484,Petrol,Dealer,First Owner,Hyundai
12,13.5,90.0,Diesel,Individual,Second Owner,Audi
13,4.0,75.976,Diesel,Dealer,Second Owner,Renault
11,2.2,70.0,Diesel,Individual,Second Owner,Ford
12,3.0,85.962,Petrol,Dealer,Second Owner,Honda
18,2.5,120.0,Petrol,Individual,First Owner,Maruti
15,6.0,120.0,Diesel,Individual,First Owner,Honda
12,2.85,75.0,Petrol,Individual,Second Owner,Honda
9,3.5,57.035,Petrol,Dealer,First Owner,Honda
11,1.7,70.0,Diesel,Individual,Third Owner,Mahindra
15,2.29999,45.0,Petrol,Individual,First Owner,Ford
13,5.0,72.104,Diesel,Dealer,Second Owner,Mahindra
11,0.75,15.0,Petrol,Individual,First Owner,Tata
16,6.0,30.0,Petrol,Individual,First Owner,Hyundai
11,2.2,80.0,Diesel,Individual,First Owner,Tata
9,1.5,164.0,Diesel,Individual,Second Owner,Tata
6,0.65,124.439,Petrol,Individual,Second Owner,Maruti
6,1.2,77.0,Petrol,Individual,Second Owner,Maruti
14,2.4,90.0,Diesel,Individual,First Owner,Maruti
17,3.9,30.0,Petrol,Individual,First Owner,Renault
12,1.8,50.0,Petrol,Individual,First Owner,Chevrolet
12,3.2,80.0,Diesel,Individual,Second Owner,Maruti
18,3.1,5.0,Petrol,Individual,First Owner,Maruti
18,4.2,24.0,Petrol,Individual,First Owner,Maruti
19,5.5,10.0,Petrol,Individual,First Owner,Tata
16,5.5,78.0,Diesel,Individual,Third Owner,Maruti
18,7.6,50.0,Diesel,Individual,First Owner,Mahindra
1,0.43,100.0,Petrol,Individual,Second Owner,Maruti
18,2.5,20.0,Petrol,Individual,First Owner,Maruti
19,5.0,1.25,Petrol,Individual,First Owner,Hyundai
15,3.8,17.152,Petrol,Individual,First Owner,Tata
19,18.5,5.0,Diesel,Individual,First Owner,Mahindra
12,3.5,77.0,Diesel,Individual,First Owner,Volkswagen
8,1.95,90.0,Diesel,Individual,Second Owner,Hyundai
11,2.25,80.0,Petrol,Individual,Second Owner,Chevrolet
15,11.25,65.0,Diesel,Individual,First Owner,Toyota
11,1.33,80.0,Diesel,Individual,First Owner,Tata
13,2.0,24.005,Petrol,Individual,First Owner,Hyundai
